feature,importance
Betrag_parsed,0.13605442176870747
hist_most_frequent_action_Rechnungsprüfung,0.13605442176870747
hist_most_frequent_action_Unbekannt,0.11564625850340134
Debitor_200,0.10884353741496595
BUK_a,0.08843537414965985
verdacht,0.08843537414965985
Debitor_100,0.08163265306122447
Ampel_1,0.0748299319727891
BUK_b,0.06802721088435373
kontrolle,0.06802721088435373
Ampel_2,0.03401360544217687
massnahme_success_rate_ampel,0.0
hist_action_diversity,0.0
overall_response_rate,0.0
negativ_False,0.0
massnahme_success_rate_buk_debitor,0.0
hist_gutschrift_count,0.0
